x,y,z (elevasi),gFA
738025.1639,9656371.748,571,102.5
739870.9321,9656367.992,783,101
741727.8398,9656364.185,691,99.4
743584.7681,9656360.348,699,98.5
745430.5975,9656356.505,497,99
747287.5673,9656352.61,511,101.3
749144.5581,9656348.685,515,105.6
750990.4502,9656344.754,837,111.4
752847.4834,9656340.771,1069,118.6
754704.5382,9656336.758,999,126.7
756550.4943,9656332.739,973,135.8
758407.5925,9656328.668,1083,146.3
760264.7126,9656324.567,1447,158.8
762110.7342,9656320.461,1791,173.8
763967.8987,9656316.301,1787,191.5
765825.0857,9656312.112,1857,211
767671.1741,9656307.918,2077,231.1
769528.4064,9656303.67,2297,248.9
771385.6615,9656299.393,2001,262
773231.8183,9656295.112,1779,267.4
775089.1197,9656290.776,1723,263.4
776946.4445,9656286.41,1809,249.4
778792.671,9656282.042,1979,226.4
780650.0429,9656277.617,2221,197.7
782507.4388,9656273.164,1831,166.2
784353.7364,9656268.707,1497,137.1
786211.1803,9656264.195,1143,113.4
788068.6487,9656259.653,905,98.4
738021.41,9654524.55,721,94.8
739867.149,9654520.774,557,92.9
741724.0274,9654516.947,447,90.7
743580.9263,9654513.089,421,89.2
745426.7266,9654509.226,365,89
747283.667,9654505.309,435,91.2
749140.6285,9654501.363,479,95.8
750986.4914,9654497.412,885,102.7
752843.4953,9654493.407,1077,111.5
754700.5207,9654489.372,979,121.4
756546.4477,9654485.333,943,132.3
758403.5164,9654481.239,1067,143.9
760260.6072,9654477.116,1377,156.6
762106.5997,9654472.988,1779,170.6
763963.7348,9654468.806,1597,186.1
765820.8923,9654464.595,1753,202.8
767666.9516,9654460.379,1859,219.9
769524.1545,9654456.108,2151,235.3
771381.3803,9654451.808,2151,247.4
773227.5078,9654447.504,1817,253.7
775084.7799,9654443.145,1697,252.7
776942.0753,9654438.756,1791,243.6
778788.2726,9654434.364,2123,226.7
780645.6151,9654429.916,2135,204.1
782502.9816,9654425.438,1931,178.2
784349.25,9654420.958,1601,152.8
786206.6646,9654416.421,1393,130.4
788064.1036,9654411.855,1077,114.2
738017.6586,9652688.413,485,88.2
739863.3685,9652684.617,339,86.4
741720.2176,9652680.769,367,84.1
743577.0871,9652676.891,393,82.4
745422.8583,9652673.007,437,82.1
747279.7694,9652669.07,413,84.2
749136.7015,9652665.103,559,89.2
750982.5353,9652661.131,931,96.8
752839.5098,9652657.105,1103,106.6
754696.5059,9652653.049,959,117.6
756542.4037,9652648.988,911,129.4
758399.4432,9652644.873,1003,141.2
760256.5046,9652640.728,1279,153.1
762102.4679,9652636.578,1497,165.3
763959.5736,9652632.374,1367,178.1
765816.7019,9652628.14,1661,191.5
767662.732,9652623.902,1839,205.2
769519.9055,9652619.608,2053,218.2
771377.1019,9652615.285,2041,229.2
773223.2003,9652610.959,1879,236.3
775080.443,9652606.576,1715,238.3
776937.7091,9652602.164,1759,233.9
778783.8771,9652597.749,1883,223
780641.1904,9652593.277,1967,206.6
782498.5275,9652588.776,2007,186
784344.7667,9652584.272,1663,164.2
786202.1519,9652579.711,1483,143
788059.5615,9652575.121,1279,125.3
